algorithm,scenario,M,N,K,nodes,ppn,ranks,Px,Py,runsCompleted,avgComputeSeconds,avgWaitSeconds,avgFillSeconds,avgTotalSeconds,checksum,status,logfile
SUMMA,S2Large,11520,11520,11520,4,6,24,6,4,4,42.752425,10.877849,0.051735,43.827430,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes4_ppn6_ranks24_Px6_Py4.log
SUMMA,S2Large,11520,11520,11520,8,1,8,4,2,4,60.234968,2.029693,0.069896,61.260055,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes8_ppn1_ranks8_Px4_Py2.log
SUMMA,S2Large,11520,11520,11520,8,2,16,4,4,4,43.600171,4.006652,0.058131,45.266685,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes8_ppn2_ranks16_Px4_Py4.log
SUMMA,S2Large,11520,11520,11520,8,4,32,8,4,0,,,,,NO_CHECKSUM,FAIL,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes8_ppn4_ranks32_Px8_Py4.log
SUMMA,S2Large,11520,11520,11520,8,6,48,8,6,0,,,,,NO_CHECKSUM,FAIL,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes8_ppn6_ranks48_Px8_Py6.log
SUMMA,S2Large,11520,11520,11520,16,1,16,4,4,4,43.218514,14.575960,0.051111,45.888478,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes16_ppn1_ranks16_Px4_Py4.log
SUMMA,S2Large,11520,11520,11520,16,2,32,8,4,4,34.749471,21.918862,0.041600,38.774810,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes16_ppn2_ranks32_Px8_Py4.log
SUMMA,S2Large,11520,11520,11520,16,4,64,8,8,0,,,,,NO_CHECKSUM,FAIL,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes16_ppn4_ranks64_Px8_Py8.log
SUMMA,S2Large,11520,11520,11520,16,6,96,12,8,0,,,,,NO_CHECKSUM,FAIL,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes16_ppn6_ranks96_Px12_Py8.log
SUMMA,S2Large,11520,11520,11520,24,1,24,6,4,4,27.449524,9.553936,0.043144,29.690981,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes24_ppn1_ranks24_Px6_Py4.log
SUMMA,S2Large,11520,11520,11520,24,2,48,8,6,4,26.310915,19.297108,0.051435,30.395963,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes24_ppn2_ranks48_Px8_Py6.log
SUMMA,S2Large,11520,11520,11520,24,4,96,12,8,0,,,,,NO_CHECKSUM,FAIL,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes24_ppn4_ranks96_Px12_Py8.log
SUMMA,S2Large,11520,11520,11520,24,6,144,12,12,0,,,,,NO_CHECKSUM,FAIL,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes24_ppn6_ranks144_Px12_Py12.log
